word,freq
aaab,1
aaagghhh,1
aakash,1
aakratis,1
aan,1
aapply,1
aaron,4
ab,3
aback,4
abajo,3
abandon,13
abatement,1
abbandonato,1
abbiamo,6
abd,4
abdomen,1
abe,1
abend,4
abends,4
aber,17
aberdeen,1
abgebildet,1
abide,5
abierto,1
ability,15
abit,1
able,372
abnb,5
abode,2
abort,1
abou,1
abould,1
aboutt,1
abraham,1
abrasive,2
abrazo,1
abre,1
abreisetag,1
abrimos,1
abrir,3
abroad,8
abrupt,2
abruptly,7
abs,2
abschied,1
absence,13
absent,7
absentee,1
absolument,1
absolut,1
absoluta,1
absolutamente,1
absolute,31
absolutely,215
absolutly,2
absoluto,2
absorb,2
absorbent,1
absorption,1
abstract,1
absurd,11
absurda,1
absurdly,1
abt,6
abundance,2
abundant,4
abuse,12
abusive,12
abysmal,1
ac,265
acaba,1
acababamos,1
acce,1
accede,1
acceder,1
accent,1
accept,54
acceptable,41
accesible,4
acceso,1
accesorized,1
access,260
accessibile,1
accessibility,3
accessible,48
accessory,7
accident,31
accidental,1
accidentally,33
acclimate,1
acclimatize,1
accoglienza,1
accomadation,3
accomaditing,1
accomdated,1
accommodate,194
accommodating,1
accommodation,192
accomodate,8
accomodating,11
accomodation,28
accomodstion,1
accomondation,1
accompany,5
accomplice,1
accomplish,4
accord,21
accordance,2
according,1
accordingly,5
accoss,1
account,42
accountability,1
accountable,1
accoutrement,1
accro,1
accross,2
accueil,1
accueilli,1
accumulate,8
accumulated,1
accumulation,3
accuracy,10
accurate,106
accurately,23
accusation,31
accusatory,3
accuse,105
accused,1
accustom,2
accustomed,4
ace,1
aceitosa,1
aceptaron,2
acerca,1
acess,1
acetone,1
ache,9
achieve,1
achy,1
acid,1
acim,1
acknowledge,27
acknowledgement,4
acknowledgment,1
acondicionado,1
aconsejo,1
acordamos,1
acquire,2
acrid,1
act,41
acting,2
action,34
activate,2
active,8
actively,2
activities,1
activity,18
actor,2
actual,89
actuality,1
actually,324
acumulado,1
acumuled,1
acurate,1
acuse,1
acuso,1
acustic,1
ad,61
ada,3
adam,2
adamant,1
adapt,5
adapter,2
adaptor,1
add,118
addict,5
addicted,1
addictive,1
addition,96
additional,107
additionally,59
additioned,1
address,254
addtionally,1
adegf,2
adelle,3
ademas,4
adequate,31
adequately,7
adeyemi,1
adhere,4
adhesive,3
adicional,1
adjacent,16
adjoin,5
adjust,21
adjustable,1
adjustment,5
adler,1
admit,19
admittedly,3
admonish,2
adnausea,1
adorable,5
adore,1
adress,7
adriana,4
adrianne,3
aduit,1
adult,70
adulti,1
adults,1
adv,1
advance,72
advanced,3
advantage,26
adventure,3
adventurer,1
adventurous,2
advert,8
advertir,1
advertise,181
advertised,3
advertisement,30
advertises,1
advertising,15
advertize,1
advice,33
advierte,1
advise,90
advo,2
aendel,1
aerate,1
aeration,2
aerial,2
aeroexpress,1
aeropuerto,1
aesthetic,2
aewanmyoga,1
af,3
afar,1
aff,2
affair,1
affect,26
affectionate,1
affirm,1
affix,1
afford,7
affordable,39
afinal,1
aforementioned,4
afraid,42
africa,2
african,3
afrikaners,1
afropunk,1
afterall,1
afternoon,69
afterparty,1
afterthought,2
afterward,1
afterword,1
agaist,1
agatha,2
age,21
aged,3
agency,5
agenda,2
agent,15
aggravate,1
aggravating,2
aggravation,1
aggresive,1
aggression,1
aggressive,57
aggressively,13
agitate,1
agitated,2
agitation,1
agnes,16
ago,34
agree,121
agreed,1
agreement,22
agressif,1
agressive,7
agressivly,1
aguantar,1
aguantarnos,1
ah,1
ahe,1
ahead,45
ahi,2
ahmed,2
ahold,9
ahora,1
ai,6
aid,10
aidait,1
aide,2
aids,2
aigerim,2
aim,1
aime,1
aimee,1
air,800
airb,11
airbab,3
airbandb,1
airbbnb,1
airbed,5
airbnb,2500
airbnbde,1
airbnbe,1
airbnber,2
airbnbgei,1
airbnbgong,3
airbnbing,1
airbnbn,3
airbnbning,1
airbnbs,38
airbnbshang,2
airbnbyu,1
airbnd,1
airbnub,3
airco,7
aircompany,1
aircon,18
aircondition,6
airconditioner,7
airconditioning,2
aircraft,2
aire,2
airflow,2
airless,2
airline,4
airmattress,1
airnb,1
airnbnb,1
airnib,1
airon,1
airplane,11
airplanes,1
airpods,3
airport,133
airvent,1
airwick,1
airy,5
aissa,1
aitbnb,1
aiutarci,1
aj,4
ajar,5
ajax,1
ajmol,1
ajs,3
aka,3
akiko,1
akin,1
aktuell,1
aktuellen,1
akward,1
akwardness,1
al,33
alaboseyo,1
alan,4
alanna,3
alarm,82
alarma,1
alarming,3
alaseo,1
albany,1
albeit,6
albert,2
alberto,2
alcohol,15
alcoholic,1
alcove,1
alcune,1
aldi,1
aldo,2
ale,1
alec,4
alejandro,2
aleksander,1
aleksandra,2
aleksey,1
alem,2
alena,2
alergy,1
alert,15
alessandra,2
alex,25
alexander,3
alexandra,1
alexey,2
alfombras,1
alfredo,2
algo,2
alguien,3
alguna,1
algunos,2
ali,4
alia,2
alicia,1
alignment,1
alike,1
alina,6
alisa,2
alisha,3
alishas,1
alison,4
alissa,4
alittle,1
alive,12
aliza,1
alla,4
allan,4
allarm,1
allay,1
alle,8
allegation,4
allege,5
alleged,2
allegedly,6
allegic,2
allegra,1
allem,9
allen,6
allergic,33
allergy,34
allerton,1
alles,20
alleviate,3
alley,7
alleyway,1
alli,5
allison,1
alllll,1
allllllll,2
allnight,1
allocate,7
allot,5
allover,1
allow,246
allowable,1
allowance,1
allready,1
allright,2
allso,1
allude,2
allusion,1
ally,9
allzu,1
almeno,2
alminium,1
almohadas,1
alocate,1
aloft,2
alojamiento,5
alojarnos,1
alona,1
alongside,3
alors,1
alot,13
aloud,3
alp,1
alphabet,1
alquilar,1
alquilen,1
alquiler,1
alright,17
als,12
altamente,1
altas,1
alter,5
alteration,1
altercation,5
alternate,11
alternative,36
alternatively,2
althought,1
altitude,2
altogether,7
altough,1
altre,1
altri,1
altura,1
alugar,1
aluminium,1
aluminum,2
alumnus,1
alway,2
alyse,1
alyson,1
alyssa,1
amanda,4
amaneces,1
amateurishly,1
amazed,1
amazing,94
amazingly,7
amazon,11
amb,1
amber,4
ambers,1
ambiance,1
ambience,2
ambient,2
ambiguous,1
ambit,1
ambition,1
ambulance,9
ambulancias,1
amd,2
amelle,1
amenable,1
amenais,1
amend,5
amendment,2
amenities,2
amenity,213
amentie,1
america,10
american,7
americans,1
amex,2
amfitrio,1
amiable,1
amicable,1
amicably,3
amid,1
amiee,2
amiga,1
amigo,2
amikole,2
amine,5
amish,1
amiss,2
amit,1
ammanities,1
ammeditie,1
ammenities,1
ammonia,1
amnesty,1
amonut,1
amos,1
amout,1
ample,7
amplify,2
amplio,1
amsterdam,2
amusement,1
amusing,1
amy,42
amyde,1
amyfang,1
amys,1
amythe,1
ana,11
anabell,1
analia,2
analogous,1
anastasia,3
anaze,1
anbindung,1
anbindungen,1
anche,1
anchor,1
ancient,2
andafrican,1
andcleaning,1
anddy,1
anderson,1
andoenyaneun,1
andre,15
andrea,2
andreias,11
andres,1
andressa,1
andrew,28
andrey,2
andsaw,1
andy,4
anemic,1
anesthesia,1
anette,1
anf,1
anfitria,1
anfitrioes,1
anfitrion,2
anfitriona,3
anfitriones,1
ang,1
angeboten,1
angebunden,1
angegeben,1
angel,4
angela,3
angeles,3
angelica,6
angelle,1
angelo,3
angelos,1
angels,1
angemessen,1
angenehm,1
anger,5
angereist,1
angesichts,2
angie,3
angle,7
angled,1
angrily,5
angry,63
angus,2
anh,2
anhaseo,1
anhasseumyeo,1
anhassgo,1
anheul,1
anheusimyeon,1
anhgo,2
anhniseubda,2
ani,5
anil,3
animal,25
animate,1
animle,1
animo,1
animosity,1
animyeon,1
anita,3
anjeul,1
ankamen,3
ankle,9
ankunft,3
ann,5
anna,13
anne,8
annero,1
annesofie,1
annette,9
annie,6
anniversary,2
annonce,2
announce,9
announcement,6
annoy,18
annoyance,11
annoyed,11
annoying,110
annoyingly,2
annoyng,1
ano,1
anomalous,1
anomaly,1
anoter,1
anotherstreet,1
anreise,3
ans,1
ansolutely,1
ansonsten,2
ansprechperson,1
answer,366
answering,1
ant,50
antagonistic,1
antagonize,1
ante,1
antediluvian,1
antelacion,1
antenna,1
antennae,1
anterior,1
anteriores,1
antes,6
anthony,9
anti,5
anticipate,6
antihistamine,1
antipatica,1
antiquated,2
antique,6
antiseptic,1
antonin,1
antonio,13
antworten,1
antwortet,1
antwortete,1
anunciado,1
anuncio,1
anus,1
anwere,1
anwesend,1
anwser,1
anxiety,11
anxious,9
anya,1
anybody,31
anycase,1
anymore,49
anyrhing,1
anythign,1
anytime,26
anyways,20
anywho,1
anzuschliessen,1
ao,1
ap,2
apalling,1
apaprtment,3
aparatos,1
aparcar,1
aparece,1
aparecen,1
aparecida,1
aparecio,2
aparentemente,1
aparently,2
aparment,1
aparremt,1
apart,79
apartament,14
apartamento,22
apartamentos,1
apartement,9
apartemt,1
apartmemt,1
apartment,4194
apartmente,2
apartments,1
apathetic,1
apenas,1
apeuljigyeong,1
apointe,1
apologetic,21
apologies,1
apologise,13
apologize,103
apology,40
apologyse,1
aportamos,1
apotheke,2
app,96
appal,8
appalled,3
appalling,8
apparantly,1
apparatus,2
apparent,11
apparently,89
apparmtent,1
appart,1
appartament,3
appartamento,10
appartement,42
appartemento,1
appartment,95
appartments,1
appeal,10
appealing,5
appear,131
appearance,12
appearerd,1
appere,1
apperently,1
appetite,3
applaud,1
apple,9
appletv,1
appliance,44
applicable,1
applicant,1
application,5
apply,13
appoint,16
appointment,11
appologize,1
appr,1
appreciable,1
appreciate,81
appreciated,1
appreciation,2
appreciative,1
apprehension,1
approach,25
approachable,3
appropriate,27
appropriately,3
approval,2
approve,11
approved,1
approx,10
approximate,1
approximately,7
appt,5
apratment,1
aprenda,1
apres,1
april,9
aproximadamente,1
apt,255
apx,1
aq,1
aquarium,1
aqui,3
aquilo,1
aquiped,1
ar,1
arabs,1
aranas,1
aranha,1
arbitrarily,1
arbitrary,2
arbnb,2
architect,2
area,879
arear,2
areas,1
argentina,5
arguably,1
argue,44
arguing,1
argument,20
argumentative,3
aria,1
aribnb,2
ariel,3
arise,11
arival,3
arlette,5
arlinda,2
arm,22
armadi,1
armario,5
armarios,1
armchair,3
army,1
arnt,1
aroma,2
aromatic,2
arrange,37
arrangement,53
arranging,1
arreglarlo,1
arreglo,1
arrest,3
arriba,1
arrival,445
arrivare,1
arrive,1068
arrivee,3
arrivgal,1
arriving,2
arrivo,1
arrogance,1
arrogant,7
arround,2
art,16
artem,4
artems,2
arthem,1
arthriti,1
article,5
articulate,1
artie,2
artificial,1
artist,13
artistic,5
artists,1
artsy,4
artwork,5
asad,1
asap,22
asbestos,1
asco,1
aseo,1
asf,1
ash,6
asha,1
ashamed,5
ashley,3
ashton,3
ashtray,1
asi,3
asia,1
asian,11
aside,28
asiento,1
ask,1157
asked,1
asleep,51
aspect,24
aspecto,1
aspectos,1
aspettati,1
asphyxiating,1
asqueroso,1
ass,9
assault,5
assemble,4
assert,5
assertion,1
assess,5
assessment,2
asset,1
assez,1
asshole,1
assign,16
assignment,1
assim,1
assist,25
assistance,21
assistant,23
associate,7
assol,2
assorted,1
assortment,2
assume,58
assumed,3
assumption,2
assure,22
asterisks,1
asthma,16
asthmatic,1
astma,1
astonishment,1
astoria,13
