word,freq
10,1
1all,1
1apartment,1
2everything,1
2subway,1
3valentina,1
4this,1
5cheap,1
aa,29
aaa,49
aaaa,5
aaaaa,4
aaaaaaa,1
aaaaaaand,1
aaaaand,2
aaaamaaaze,1
aaaamaze,1
aaaammmaazziiinngg,1
aaaand,4
aaah,1
aaahhhh,2
aaahhhmmmaaazziinnnggfffff,1
aaahhhmmmaaazzzzing,1
aaamaazinng,1
aaamaze,1
aaand,6
aabout,2
aad,1
aadi,5
aadnher,1
aafe,1
aagain,1
aah,1
aahley,1
aairbnb,1
aakaash,1
aakash,23
aalap,5
aalborg,1
aalicja,1
aalii,1
aalyaamule,1
aamaaazing,1
aamhaalaa,1
aamhaanlaa,1
aamito,1
aamupala,1
aan,3
aanchal,4
aand,6
aankomst,1
aanrader,4
aanyory,1
aapartment,3
aappeciate,1
aar,7
aarange,1
aardige,1
aarian,4
aarived,1
aaron,1421
aaronben,1
aaronde,2
aarons,10
aaronyi,1
aaronyou,1
aaroon,1
aarp,1
aarron,1
aartment,2
aas,2
aat,1
aathere,1
aau,1
aavddln,1
ab,72
aba,2
ababa,1
abacadabra,1
aback,40
abadha,1
abado,1
abailable,2
abaixo,1
abajo,2
abaliable,2
abalone,80
aban,1
abandon,50
abandonated,1
abandoned,1
abanoned,1
abaolute,1
abar,1
abarco,2
abarrotes,1
abasiano,1
abass,34
abastecer,1
abastecerse,1
abastecido,2
abate,4
abatement,3
abayomi,7
abb,28
abba,1
abbagati,1
abbas,2
abbastanza,7
abbey,83
abbi,2
abbia,2
abbiamo,27
abbie,74
abbies,1
abbigliamento,1
abble,2
abbondantissime,1
abbot,1
abboud,1
abbraccio,2
abbraci,1
abbreviate,1
abbreviated,1
abbs,1
abby,248
abbys,2
abc,55
abcd,91
abcdefm,2
abcdline,1
abcdxian,1
abck,2
abd,67
abdc,1
abdel,9
abdes,3
abdessamad,1
abdi,2
abdiaziz,19
abdiel,2
abdirazak,2
abdirizak,2
abdlai,1
abdolutelly,1
abdolutely,2
abdouaye,1
abdoul,6
abdoulay,1
abdoulaye,23
abdouyale,1
abdre,1
abdrea,1
abdrzej,1
abduel,25
abduele,1
abdul,81
abdulla,1
abdullah,2
abduls,3
abdulsamie,1
abduraufi,5
abe,237
abeam,1
abeautiful,1
abed,3
abee,5
abeer,6
abegail,1
abel,245
abels,4
abena,20
abenas,2
abend,1
abende,1
abendessen,2
abends,4
abendveranstaltung,1
abeni,6
abenue,1
aber,34
abercrombie,1
aberdeen,9
aberration,1
aberta,1
abertas,1
abertos,1
abes,1
abet,1
abett,1
abeyu,10
abgebildet,1
abgesehen,2
abgholt,1
abgreat,1
abhaya,1
abhic,1
abhijeet,2
abhik,10
abhilasha,6
abhinandan,1
