x,y,words
-53.39843,-12.319576,la
-26.15451,-46.699516,padrona
6.8138833,-59.2968,di
-40.29113,-4.654326,casa
-18.017666,-51.613903,stata
-18.022432,-47.25576,nelle
-17.242146,-51.825962,veloce
-17.42502,-52.176933,risposte
-44.9335,-30.1969,unico
-18.25383,-52.51853,stato
80.06627,12.942334,da
-53.59684,-12.321392,un
-55.90745,-3.5699036,problema
-45.90637,-13.539426,con
-17.631779,39.777706,app
-17.546673,-40.3953,cui
-13.447478,-45.777172,io
-18.364813,-40.469357,non
-50.141953,41.94213,le
19.268095,-35.147675,lisa
-42.797424,-61.7508,sempre
-18.19075,-52.461903,disponibile
-8.815764,-45.647274,informazioni
-20.297651,-33.469044,verso
-8.464167,-46.53916,nostre
-21.52734,-50.228195,alloggio
-23.576897,-47.951923,funzionale
-24.062536,-48.69506,pulito
-53.272198,-11.7071705,si
-25.487133,-33.617157,accede
-52.4721,-13.065383,una
-14.87842,-37.044724,po
-11.421471,-45.21094,hanno
-14.864306,-46.53205,problemi
-18.334486,-39.09657,potrebbe
-18.731688,-39.017586,essere
-17.73454,-40.94697,ma
-17.258411,-43.028545,noi
-13.266839,-46.953842,abbiamo
-14.631914,-46.94486,avuto
-50.256527,42.86896,il
-10.592446,-40.966167,bagno
-24.370968,-37.448566,nuovo
-13.720238,-42.751522,appena
-20.083502,-43.996113,cucina
-19.813189,-42.636497,semplice
-18.400627,-44.745262,letti
-10.719844,-51.22281,sono
-18.300566,-44.90049,comodi
-8.4487915,-44.312145,stanze
-19.178507,-39.57842,abbastanza
-9.068088,-43.73123,grandi
-13.72933,-34.506916,dove
-8.577133,-45.300087,valigie
-8.950127,-44.581375,lenzuola
-16.218658,-44.80048,asciugamani
-18.233683,-45.469933,puliti
-20.808277,-49.79348,ottimo
-18.438847,-39.34518,senza
-15.234724,-42.200397,nulla
-6.3880305,-45.177055,foto
-19.51297,-35.85904,sembra
-22.413319,-43.68435,migliore
-19.145687,-39.48431,piu
-19.074692,23.136496,accurate
-11.4226465,-40.94987,aria
-11.450832,-40.930107,condizionata
-22.076817,-45.576324,funziona
-15.860897,47.60648,wi
-15.843087,47.567867,fi
-20.730423,-45.77128,benissimo
-16.423237,-35.464684,quartiere
-14.469624,-39.08693,sicuro
-10.829102,-51.26622,siamo
-20.11625,-39.526833,anche
-32.720734,-18.08157,tarda
-23.444288,-40.648994,sera
16.991753,-62.139515,mai
-18.604921,-42.918976,avere
-13.664598,-32.23063,vicinanze
-18.153894,-32.680836,sulla
31.356222,-3.2041793,franklin
33.99545,-42.745262,vi
-13.7917385,-32.12569,supermercati
-13.232455,-34.123203,piccoli
-8.2543955,-46.935066,fino
-18.916422,-37.278954,tardi
-21.035673,-31.857037,metropolitana
-24.295427,-31.341593,trova
-19.717438,-31.636208,minuti
6.858759,-59.210403,nei
-11.441296,-33.781525,dintorni
25.511272,23.356627,diverse
-20.301853,-29.795595,linee
28.158373,7.8737593,bus
-18.547281,-49.623734,ospitalita
-9.046384,-49.725403,ci
-24.382256,-37.364613,torneremo
-50.828533,-11.616379,lo
-20.59524,-25.6509,ad
-24.453533,-38.59524,amici
6.691612,-59.26258,che
-20.442139,-36.723366,visitare
-23.100115,-41.75391,fortuna
-8.814293,8.468242,hotel
58.3756,0.83806795,stelle
-20.108833,-49.361244,consigliato
60.06333,17.297258,alles
78.98873,6.450053,war
62.37176,16.384838,und
57.27398,-8.637679,nett
58.174465,41.861317,hergerichtet
62.028545,14.76759,die
43.564816,14.497378,nachbarschaft
78.890205,6.5417376,ist
64.93869,25.227058,teilweise
-3.413207,39.589245,chic
54.761147,10.710677,weniger
65.454216,21.68883,aber
67.20552,18.56396,nicht
71.3989,-5.1200347,unsicher
46.503414,-4.667706,perfekte
42.500965,15.234475,lage
61.840244,14.694052,zur
38.817204,11.204417,bahn
33.873928,13.191799,min
49.643013,-9.050428,guter
34.59509,22.759695,backer
59.898113,14.250173,dem
38.52167,13.155325,weg
64.00284,14.637752,dorthin
63.408134,13.905438,wir
78.89895,3.7352679,haben
54.374905,5.586146,tage
60.84416,16.175503,bei
58.683086,10.288223,ihrer
53.802174,2.7266371,familie
63.070827,4.0508246,gewohnt
61.295685,11.206129,uns
64.61351,18.795238,dort
62.028908,17.375618,sehr
70.83182,-4.5945525,wohl
76.12192,2.0593493,gefuhlt
-36.731163,36.848007,etage
61.283947,16.221285,mit
55.176804,32.279675,kuche
37.709534,37.492832,bad
52.943394,28.883696,schlafzimmer
80.56295,6.82207,hat
65.5984,17.406404,man
59.712383,38.745014,komplett
64.94937,15.978306,fur
61.726967,12.085909,sich
74.526726,28.158619,alleine
82.538345,8.6735,kann
80.12511,17.982136,kommen
80.249825,18.086044,gehen
63.431973,17.030958,wie
82.47866,6.958939,mochte
82.29084,9.681058,bekommt
64.61908,20.366362,zwar
63.15398,39.442432,schon
63.59726,22.020931,etwas
61.12262,15.936089,von
61.901985,14.71284,der
65.58674,21.783804,allerdings
59.311005,12.287433,unserem
67.72528,18.111933,nie
69.64429,19.21962,jemand
68.0609,1.5748099,gestort
62.87212,16.804197,zudem
60.13204,10.181092,unserer
58.672607,2.6704814,ankunft
60.636208,39.37538,sauber
30.24661,4.3164163,metro
78.97463,5.5105834,sind
-42.022842,-19.603516,es
62.629112,15.533741,nur
35.77893,11.774772,wenige
34.883392,13.246854,gehminuten
61.704967,15.714161,aus
34.89065,13.304359,minuten
35.038296,16.31916,direkt
26.746521,7.0822315,manhattan
65.63717,17.536625,wer
59.68294,13.688472,einen
51.920742,12.727731,gunstigen
49.00131,23.036213,aufenthalt
-13.297385,-20.540945,new
-6.7977195,-15.933475,york
78.18139,18.966347,verbringen
44.566933,37.032906,bereit
62.590828,16.1199,auch
60.06591,15.505807,ein
49.60253,28.489292,bisschen
62.616154,15.629763,zu
40.773487,10.622185,fahren
59.8319,13.843522,den
44.833775,13.33096,unterkunft
54.296043,5.73413,nachte
62.805492,3.9491296,verbracht
63.757862,13.190192,sie
61.66797,-7.2201824,immer
57.220535,-7.4418607,aufmerksam
57.266594,-7.6520753,zuvorkommend
70.87001,5.66715,mehrfach
71.91571,5.932768,nachgefragt
72.37312,5.8148994,ob
60.58537,34.258972,ordnung
67.64797,3.1215434,gebraucht
80.15976,7.361181,wird
75.11588,18.596298,beginn
73.00675,1.830104,erklarte
43.430897,14.605054,umgebung
77.33685,5.76838,gab
37.72616,29.62593,tipps
60.58533,14.791685,zum
44.726448,28.405134,einkaufen
23.503485,22.651539,bar
35.82171,23.417793,cafes
24.183462,3.4888446,brooklyn
36.026466,10.960386,fusslaufig
36.016563,22.89034,verschiedene
38.00741,17.468338,stationen
44.031578,-5.9250226,gut
58.093616,-4.9606767,erreichbar
63.510593,15.059199,nach
79.28741,18.847658,fuhren
-47.047188,56.581493,des
76.55689,8.527114,befindet
58.101357,11.942576,seinen
54.187298,34.89804,eigenen
55.152542,27.82927,bereich
59.51566,15.857863,das
49.37347,12.365601,leben
83.608246,10.995075,erreicht
30.11477,10.046546,uber
49.396847,12.177084,normale
53.43813,27.289951,treppenhaus
77.46441,5.8853116,gibt
67.604774,19.116684,keine
54.13831,35.129906,eigene
53.022488,14.556569,tur
60.39907,14.868469,vom
47.552013,35.647114,handtucher
47.94264,34.19686,fon
79.48973,5.5827904,stehen
58.23929,1.0051246,verfugung
57.78604,41.55871,ausgestattet
60.137806,10.261883,unsere
57.68629,3.0695696,reise
61.959724,13.987641,eine
46.086025,-3.5638638,gute
57.21824,4.2926216,wahl
61.71447,16.314756,auf
57.00964,20.19704,ersten
44.750988,11.618123,blick
61.310295,17.296013,einfach
55.07386,41.35527,eingerichtete
44.82968,13.3572855,wohnung
78.01296,6.729325,bietet
45.069992,9.054294,tagliche
84.35765,9.927208,braucht
43.908833,36.485046,sogar
63.737244,15.776984,noch
54.85176,10.5173025,mehr
51.07881,32.479565,gasherd
49.871098,33.873257,backofen
49.358997,33.57868,toaster
49.834682,34.033142,mikrowelle
61.610706,13.8891115,einer
64.45485,28.161886,kuhl
57.187523,33.10851,betten
78.9822,5.450392,waren
62.60364,38.921886,bequem
57.933197,26.946281,fenster
36.39724,24.831175,viele
59.60144,25.674978,gerausche
59.683804,13.88947,einem
45.8636,17.710331,ruhigen
49.866745,22.416508,eindruck
45.948288,16.19903,viertel
42.606194,16.926346,liegt
66.63477,18.807503,kein
-8.910399,29.439377,problem
35.222,28.048573,rund
60.367687,-4.83133,schnelle
39.85004,1.6508528,wlan
66.7064,-0.9551943,funktionierte
54.791817,-5.1979775,problemlos
58.094353,-4.858752,erreichen
59.983845,17.312918,alle
60.15528,-1.5928826,fragen
82.32897,2.5747888,gerne
62.48449,-3.4198751,beantwortet
55.498837,-5.099154,beim
-16.681757,-8.1984625,check
43.093067,30.686237,sowie
79.01935,16.84499,verlassen
53.24247,18.125008,hauses
70.640884,5.8008523,zwischendurch
-53.53735,50.498817,probleme
39.984127,15.065436,anbindung
29.943764,4.2093196,subway
65.14828,14.586615,bis
26.497755,-2.262043,clinton
26.213259,-7.2797284,washington
33.199783,-1.3749672,av
68.08163,19.532969,ohne
40.74498,10.808864,umsteigen
77.57898,-1.9875826,vielen
39.770046,19.327864,sehenswurdigkeiten
83.26128,10.955022,kommt
38.100548,10.086221,knapp
37.45333,10.746599,entfernt
18.502935,16.784075,station
34.429886,22.912941,supermarkt
79.64499,2.7826385,konnen
83.94331,-0.23040368,jedem
85.25001,2.6286936,empfehlen
52.93503,8.376678,funf
52.09044,9.35508,sterne
69.466705,24.47331,sondern
46.42252,-1.7825873,einfache
55.55956,41.367268,ausgestattete
51.63268,12.1031885,sucht
10.56838,15.619602,apartment
-7.494561,41.926228,stock
79.91636,5.8726254,steht
58.258667,41.652164,eingerichtet
43.583847,32.078262,inklusive
49.623417,34.131565,kaffeemaschine
4.553631,61.681366,filter
44.428467,35.846077,kaffee
48.57781,35.273815,vorhanden
46.61665,34.01971,gewurze
67.08076,-0.15403952,funktioniert
54.156094,-4.9023213,einwandfrei
60.550953,-5.7014136,schnell
33.731205,20.511656,direkten
40.00723,12.037415,linie
53.609844,10.559745,sowohl
31.025242,8.340822,flughafen
29.959711,7.6440125,jfk
63.937386,16.875175,als
31.450613,5.7986884,port
31.523884,5.7850547,authority
31.309456,5.8156757,terminal
40.808872,10.033981,fuhrt
25.606197,27.775042,diner
50.44294,-4.0424514,unkomplizierte
54.193203,0.44804537,gastgeberin
70.14705,21.30653,werden
69.52548,21.573318,vielleicht
61.350605,20.094437,richtig
48.944553,23.073362,besuch
43.803875,-6.9494443,perfekt
42.796677,-0.68952876,zentral
62.87151,15.769001,oder
26.399887,6.8903913,downtown
26.815416,7.13048,manhatten
39.74877,24.049088,umkreis
36.39701,24.793554,einige
35.70223,22.514025,geschafte
40.527752,24.477001,denen
53.466892,15.325528,allem
41.93969,32.361576,notwendigen
77.90205,21.550402,versorgen
49.80668,7.2326093,geeignet
77.09986,17.911001,erkunden
-6.669115,16.306784,know
-10.659021,18.935097,upset
6.0332603,25.15333,music
-2.0614362,16.882505,people
-5.0390525,13.522724,decide
-1.0452093,23.343365,cop
-13.249782,11.635524,refuse
-12.928808,11.017646,refund
-25.818708,13.859036,airbnb
7.359685,10.348109,feel
-8.528445,24.368608,uncomfortable
-3.0769207,13.963429,leave
-22.748041,25.099957,picture
-2.2620387,16.513924,not
-6.104108,4.332906,person
5.7576385,12.027615,real
-5.3400025,0.3500595,talk
20.880098,47.638355,dead
20.583002,48.483994,cockroach
2.88186,-10.304856,cat
4.469856,50.770046,hair
-2.6567366,36.13013,clean
-41.060627,32.47056,appartement
72.729065,34.524403,beschrieben
48.844418,12.322739,typische
-6.9096036,-16.02381,yorker
64.97307,30.388424,alter
46.88388,10.308938,ausgangspunkt
12.247921,16.119802,spot
36.730732,10.426133,innerhalb
38.086132,9.709769,max
17.769564,-33.35073,tina
58.30746,18.361856,vor
58.595158,2.6160648,anreise
59.988094,8.010423,wahrend
59.986763,8.0096445,aufenthaltes
57.424908,-7.2622876,hilfsbereit
78.11646,2.7400572,kamen
68.279724,11.249317,spater
69.081024,11.70842,geplant
64.0807,20.911545,trotzdem
-41.636192,20.190681,aller
48.71024,14.968644,ruhe
71.52629,1.612203,gezeigt
